[14:11:29.417] [main-module:00F1103F]: 2b 05 b4 c1 f2 00                   sub eax, dword ptr [0xf2c1b4]      
[14:11:29.417] [main-module:00F11045]: c1 e8 0a                            shr eax, 0xa                       
[14:11:29.417] [main-module:00F11048]: e8 24 05 00 00                      call 0xf11571                      
[14:11:29.417] [main-module:00F11571]: 53                                  push ebx                           
[14:11:29.417] [main-module:00F11572]: b9 00 ca 9a 3b                      mov ecx, 0x3b9aca00                
[14:11:29.417] [main-module:00F11577]: 31 d2                               xor edx, edx                       
[14:11:29.417] [main-module:00F11579]: 30 db                               xor bl, bl                         
[14:11:29.417] [main-module:00F1157B]: f7 f1                               div ecx                            
[14:11:29.417] [main-module:00F1157D]: 52                                  push edx                           
[14:11:29.417] [main-module:00F1157E]: 83 f9 01                            cmp ecx, 0x1                       
[14:11:29.417] [main-module:00F11581]: 74 0a                               jz 0xf1158d                        
[14:11:29.417] [main-module:00F11583]: 08 db                               or bl, bl                          
[14:11:29.417] [main-module:00F11585]: 75 06                               jnz 0xf1158d                       
[14:11:29.417] [main-module:00F11587]: 08 c0                               or al, al                          
[14:11:29.417] [main-module:00F11589]: 74 0e                               jz 0xf11599                        
[14:11:29.417] [main-module:00F11599]: 89 c8                               mov eax, ecx                       
[14:11:29.417] [main-module:00F1159B]: 31 d2                               xor edx, edx                       
[14:11:29.417] [main-module:00F1159D]: b9 0a 00 00 00                      mov ecx, 0xa                       
[14:11:29.417] [main-module:00F115A2]: f7 f1                               div ecx                            
[14:11:29.417] [main-module:00F115A4]: 89 c1                               mov ecx, eax                       
[14:11:29.417] [main-module:00F115A6]: 58                                  pop eax                            
[14:11:29.417] [main-module:00F115A7]: 09 c9                               or ecx, ecx                        
[14:11:29.417] [main-module:00F115A9]: 75 d0                               jnz 0xf1157b                       
[14:11:29.417] [main-module:00F115AB]: 5b                                  pop ebx                            
[14:11:29.417] [main-module:00F115AC]: c3                                  ret                                
[14:11:29.417] [main-module:00F1157B]: f7 f1                               div ecx                            
[14:11:29.417] [main-module:00F1157D]: 52                                  push edx                           
[14:11:29.417] [main-module:00F1157E]: 83 f9 01                            cmp ecx, 0x1                       
[14:11:29.417] [main-module:00F11581]: 74 0a                               jz 0xf1158d                        
[14:11:29.417] [main-module:00F11583]: 08 db                               or bl, bl                          
[14:11:29.417] [main-module:00F11585]: 75 06                               jnz 0xf1158d                       
[14:11:29.417] [main-module:00F11587]: 08 c0                               or al, al                          
[14:11:29.417] [main-module:00F11589]: 74 0e                               jz 0xf11599                        
[14:11:29.417] [main-module:00F1158B]: f6 d3                               not bl                             
[14:11:29.417] [main-module:00F1158D]: 88 c2                               mov dl, al                         
[14:11:29.417] [main-module:00F1158F]: 80 c2 30                            add dl, 0x30                       
[14:11:29.417] [main-module:00F11592]: 51                                  push ecx                           
[14:11:29.417] [main-module:00F11593]: e8 ad ff ff ff                      call 0xf11545                      
[14:11:29.417] [main-module:00F11545]: 53                                  push ebx                           
[14:11:29.417] [main-module:00F11546]: 88 15 df c6 f2 00                   mov byte ptr [0xf2c6df], dl        
[14:11:29.417] [main-module:00F1154C]: ff 35 c7 c6 f2 00                   push dword ptr [0xf2c6c7]          
[14:11:29.417] [main-module:00F11552]: ff 15 48 40 f3 00                   call dword ptr [0xf34048]          
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
[14:11:29.417] [main-module:00F11558]: 89 c3                               mov ebx, eax                       
[14:11:29.417] [main-module:00F1155A]: 6a 00                               push 0x0                           
[14:11:29.417] [main-module:00F1155C]: 68 d7 c6 f2 00                      push 0xf2c6d7                      
[14:11:29.417] [main-module:00F11561]: 6a 01                               push 0x1                           
[14:11:29.417] [main-module:00F11563]: 68 df c6 f2 00                      push 0xf2c6df                      
[14:11:29.417] [main-module:00F11568]: 53                                  push ebx                           
[14:11:29.417] [main-module:00F11569]: ff 15 34 40 f3 00                   call dword ptr [0xf34034]          
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C6DF: {31}, (DWORD)0x00000001, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
[14:11:29.417] [main-module:00F1156F]: 5b                                  pop ebx                            
[14:11:29.417] [main-module:00F11570]: c3                                  ret                                
[14:11:29.417] [main-module:00F11598]: 59                                  pop ecx                            
[14:11:29.417] [main-module:00F11599]: 89 c8                               mov eax, ecx                       
[14:11:29.417] [main-module:00F1159B]: 31 d2                               xor edx, edx                       
[14:11:29.417] [main-module:00F1159D]: b9 0a 00 00 00                      mov ecx, 0xa                       
[14:11:29.417] [main-module:00F115A2]: f7 f1                               div ecx                            
[14:11:29.417] [main-module:00F115A4]: 89 c1                               mov ecx, eax                       
[14:11:29.417] [main-module:00F115A6]: 58                                  pop eax                            
[14:11:29.417] [main-module:00F115A7]: 09 c9                               or ecx, ecx                        
[14:11:29.417] [main-module:00F115A9]: 75 d0                               jnz 0xf1157b                       
[14:11:29.417] [main-module:00F115AB]: 5b                                  pop ebx                            
[14:11:29.417] [main-module:00F115AC]: c3                                  ret                                
[14:11:29.417] [main-module:00F1158D]: 88 c2                               mov dl, al                         
[14:11:29.417] [main-module:00F1158F]: 80 c2 30                            add dl, 0x30                       
[14:11:29.417] [main-module:00F11592]: 51                                  push ecx                           
[14:11:29.417] [main-module:00F11593]: e8 ad ff ff ff                      call 0xf11545                      
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C6DF: {30}, (DWORD)0x00000001, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C6DF: {34}, (DWORD)0x00000001, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C6DF: {38}, (DWORD)0x00000001, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C6DF: {35}, (DWORD)0x00000001, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C6DF: {37}, (DWORD)0x00000001, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C6DF: {36}, (DWORD)0x00000001, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
[14:11:29.433] [main-module:00F1104D]: be 77 c1 f2 00                      mov esi, 0xf2c177                  
[14:11:29.433] [main-module:00F11052]: e8 c1 04 00 00                      call 0xf11518                      
    [KERNEL32.DLL:GetStdHandle_10E06831] (STD_OUTPUT_HANDLE)
    [KERNEL32.DLL:WriteFile_DD26B270] ((DWORD)0x0000000C, (DWORD)0x00F2C177: {206B696C6F6279746573206D656D6F7279290D0A}, (DWORD)0x00000014, (DWORD)0x00F2C6D7, (DWORD)0x00000000)
[14:11:29.433] [main-module:00F11057]: ff 15 54 40 f3 00                   call dword ptr [0xf34054]          
    [KERNEL32.DLL:GetTickCount_731D6210] ()
[14:11:29.433] [main-module:00F1105D]: a3 cf c6 f2 00                      mov dword ptr [0xf2c6cf], eax      
[14:11:29.433] [main-module:00F11062]: 80 25 e2 c6 f2 00 00                and byte ptr [0xf2c6e2], 0x0       
[14:11:29.433] [main-module:00F11069]: e8 85 10 00 00                      call 0xf120f3                      
[14:11:29.433] [main-module:00F120F3]: bf 47 c3 f2 00                      mov edi, 0xf2c347                  
[14:11:29.433] [main-module:00F120F8]: 30 c0                               xor al, al                         
[14:11:29.433] [main-module:00F120FA]: aa                                  stosb byte ptr [edi]               
[14:11:29.433] [main-module:00F120FB]: fe c0                               inc al                             
[14:11:29.433] [main-module:00F120FD]: 75 fb                               jnz 0xf120fa                       
[14:11:29.433] [main-module:00F120FF]: be a8 c3 f2 00                      mov esi, 0xf2c3a8                  
[14:11:29.433] [main-module:00F12104]: bf 88 c3 f2 00                      mov edi, 0xf2c388                  
[14:11:29.433] [main-module:00F12109]: b9 1a 00 00 00                      mov ecx, 0x1a                      
[14:11:29.433] [main-module:00F120FA]: aa                                  stosb byte ptr [edi]               
[14:11:29.433] [main-module:00F120FB]: fe c0                               inc al                             
[14:11:29.433] [main-module:00F120FD]: 75 fb                               jnz 0xf120fa                       
[14:11:29.433] [main-module:00F120FF]: be a8 c3 f2 00                      mov esi, 0xf2c3a8                  
[14:11:29.433] [main-module:00F12104]: bf 88 c3 f2 00                      mov edi, 0xf2c388                  
[14:11:29.433] [main-module:00F12109]: b9 1a 00 00 00                      mov ecx, 0x1a                      
[14:11:29.433] [main-module:00F1210E]: f3 a4                               rep movsb byte ptr [edi], byte ptr [esi]
[14:11:29.433] [main-module:00F12110]: bf 47 c3 f2 00                      mov edi, 0xf2c347                  
[14:11:29.433] [main-module:00F12115]: be 5c 55 f2 00                      mov esi, 0xf2555c                  
[14:11:29.433] [main-module:00F1211A]: 0f b6 4e ff                         movzx ecx, byte ptr [esi-0x1]      
[14:11:29.433] [main-module:00F1211E]: 31 c0                               xor eax, eax                       
[14:11:29.433] [main-module:00F12120]: ac                                  lodsb byte ptr [esi]               
[14:11:29.433] [main-module:00F12121]: c6 04 07 00                         mov byte ptr [edi+eax*1], 0x0      
[14:11:29.433] [main-module:00F12125]: e2 f9                               loop 0xf12120                      
[14:11:29.433] [main-module:00F12127]: bf 20 c2 f2 00                      mov edi, 0xf2c220                  
[14:11:29.433] [main-module:00F1212C]: 66 b8 01 30                         mov ax, 0x3001                     
[14:11:29.433] [main-module:00F12130]: 66 ab                               stosw word ptr [edi]               
[14:11:29.433] [main-module:00F12132]: 8b 3d ac c1 f2 00                   mov edi, dword ptr [0xf2c1ac]      
[14:11:29.433] [main-module:00F12138]: 89 3d d4 c1 f2 00                   mov dword ptr [0xf2c1d4], edi      
[14:11:29.433] [main-module:00F1213E]: be 53 55 f2 00                      mov esi, 0xf25553                  
[14:11:29.433] [main-module:00F12143]: e8 10 f3 ff ff                      call 0xf11458                      
[14:11:29.433] [main-module:00F12120]: ac                                  lodsb byte ptr [esi]               
